,, 1, 1, 1, 1,0.20,0.20,-0.50,0.50,0.50,0.50,0.73,,
,, 1, 2, 2, 2,0.70,0.70,-0.70,0.70,0.30,0.30,1.03,,
,, 1, 3, 3, 3,-0.10,0.10,-0.20,0.20,-0.80,0.80,0.83,,
,, 1, 4, 4, 4,0.50,0.50,-0.50,0.50,-0.70,0.70,0.99,,
,, 1, 5, 5, 5,0.10,0.10,-0.50,0.50,-0.90,0.90,1.03,,
,, 1, 6, 6, 6,0.30,0.30,-0.50,0.50,-0.60,0.60,0.84,,
,, 1, 7, 7, 1,0.20,0.20,-0.90,0.90,0.60,0.60,1.10,,
,, 1, 8, 8, 2,0.50,0.50,-0.30,0.30,-0.40,0.40,0.71,,
,, 1, 9, 9, 3,0.80,0.80,-0.50,0.50,-0.70,0.70,1.17,,
,, 1,10,10, 4,0.50,0.50,-0.30,0.30,-0.60,0.60,0.84,,
,, 1,11,11, 5,0.40,0.40,-0.90,0.90,-0.40,0.40,1.06,,
,, 1,12,12, 6,-0.50,0.50,-0.70,0.70,-0.50,0.50,0.99,,
,, 1,13,13, 1,0.10,0.10,0.00,0.00,-0.30,0.30,0.32,,
,, 1,14,14, 2,0.10,0.10,-0.40,0.40,-0.10,0.10,0.42,,
,, 1,15,15, 3,-0.80,0.80,-0.20,0.20,-0.20,0.20,0.85,,
,, 1,16,16, 4,-1.60,1.60,-0.80,0.80,-1.60,1.60,2.40,,
,, 1,17,17, 5,-1.80,1.80,-0.60,0.60,-0.70,0.70,2.02,,
,, 1,18,18, 6,-0.90,0.90,-0.10,0.10,-0.40,0.40,0.99,,
,, 1,19,19, 1,-0.40,0.40,-0.60,0.60,-0.20,0.20,0.75,,
,, 1,20,20, 2,-0.40,0.40,-0.20,0.20,0.00,0.00,0.45,,
,, 1,21,21, 3,0.30,0.30,0.00,0.00,0.20,0.20,0.36,,
,, 1,22,22, 4,-0.10,0.10,0.00,0.00,1.00,1.00,1.00,,
,, 1,23,23, 5,0.60,0.60,0.20,0.20,-0.20,0.20,0.66,,
,, 1,24,24, 6,0.20,0.20,1.00,1.00,0.40,0.40,1.10,,
,, 1,25,25, 1,0.60,0.60,0.30,0.30,-0.30,0.30,0.73,,
,, 1,26,26, 2,-0.10,0.10,-0.60,0.60,-0.10,0.10,0.62,,
,, 1,27,27, 3,0.30,0.30,-0.10,0.10,-0.40,0.40,0.51,,
,, 1,28,28, 4,0.30,0.30,-0.70,0.70,0.30,0.30,0.82,,
,, 1,29,29, 5,0.40,0.40,-0.30,0.30,1.20,1.20,1.30,,
,, 1,30,30, 6,0.30,0.30,-0.30,0.30,1.00,1.00,1.09,,
,, 1,31,31, 1,0.20,0.20,-0.40,0.40,1.30,1.30,1.37,,
,, 1,32,32, 2,-0.50,0.50,-0.50,0.50,0.00,0.00,0.71,,
,, 1,33,33, 3,-0.10,0.10,-0.60,0.60,0.10,0.10,0.62,,
,, 1,34,34, 4,0.30,0.30,0.30,0.30,0.60,0.60,0.73,,
,, 1,35,35, 5,0.10,0.10,-0.40,0.40,0.80,0.80,0.90,,
,, 1,36,36, 6,-0.10,0.10,-0.60,0.60,-0.70,0.70,0.93,,
,, 1,37,37, 1,0.50,0.50,-0.10,0.10,2.10,2.10,2.16,,
,, 1,38,38, 2,0.40,0.40,0.00,0.00,2.30,2.30,2.33,,
,, 1,39,39, 3,0.40,0.40,-0.30,0.30,0.30,0.30,0.58,,
,, 1,40,40, 4,0.70,0.70,0.00,0.00,0.20,0.20,0.73,,
,, 1,41,41, 5,0.30,0.30,0.30,0.30,1.20,1.20,1.27,,
,, 1,42,42, 6,0.40,0.40,0.10,0.10,1.20,1.20,1.27,,
,, 2, 1,43, 1,-0.20,0.20,-0.50,0.50,-0.20,0.20,0.57,,
,, 2, 2,44, 2,0.60,0.60,-0.50,0.50,0.20,0.20,0.81,,
,, 2, 3,45, 3,-0.70,0.70,-0.70,0.70,0.00,0.00,0.99,,
,, 2, 4,46, 4,-0.20,0.20,-0.30,0.30,-1.20,1.20,1.25,,
,, 2, 5,47, 5,0.50,0.50,-0.70,0.70,-1.40,1.40,1.64,,
